course_id,Anatomy and Physiology,Behavioral and Cognitive Neuroscience,Cell and Molecular Neuroscience,Environmental and Public Health,Exercise Science,Health Promotion,Microbiology and Infectious Disease,Neuroscience,Other
AMST-101,Sophomore (Spring) | A,Freshman (Fall) | B,Senior (Fall) | B,Sophomore (Spring) | A-,Sophomore (Fall) | A+,Sophomore (Spring) | B,Junior (Spring) | A,,Junior (Fall) | A
ANEQ-101,Freshman (Fall) | A+,,,,Freshman (Fall) | W,Freshman (Fall) | C+,Freshman (Fall) | A,,
ANEQ-102,Sophomore (Fall) | A,Freshman (Fall) | A,,,Sophomore (Fall) | B,Freshman (Fall) | F,Junior (Fall) | A,,Junior (Fall) | B
ANEQ-115,Junior (Spring) | A+,Sophomore (Spring) | A+,,,Junior (Spring) | A,,Sophomore (Spring) | A+,,
ANEQ-180A2,,,,,,,Freshman (Fall) | C,,
ANEQ-193,Freshman (Fall) | A,,,,Freshman (Fall) | A,Freshman (Fall) | B,,,
ANEQ-250,Junior (Fall) | A,,,,Sophomore (Fall) | B,,,,
ANEQ-292,Sophomore (Spring) | A+,,,,Junior (Spring) | A+,,Sophomore (Spring) | A,,
ANEQ-293,Junior (Spring) | A,,,,,,Sophomore (Spring) | A,,
ANEQ-300A,Sophomore (Spring) | A+,,,,Sophomore (Fall) | F,,,,
ANEQ-305,Sophomore (Fall) | A,,,,Junior (Spring) | B,,Junior (Fall) | A,,
ANEQ-310,Junior (Fall) | A,,,,,,,,
ANEQ-320,Senior (Fall) | A,,,,,,Senior (Fall) | A,,
ANEQ-328,Junior (Fall) | A,,,,,,Junior (Fall) | A,,
ANEQ-334,,,,,,,Senior (Summer) | A,,
ANEQ-344,,,,,,,Senior (Fall) | B+,,
ANEQ-345,,,,,,,Senior (Spring) | W,,
ANEQ-346,,,,,,,Senior (Fall) | C,,
ANEQ-351,,,,,,,Senior (Fall) | A-,,
ANEQ-360,Junior (Fall) | A,,,,,,Sophomore (Fall) | A,,
ANEQ-365,,,,,,,Senior (Spring) | A+,,
ANEQ-384,Sophomore (Spring) | S,,,,,,Junior (Fall) | S,,
ANEQ-440,,,,,,,Senior (Fall) | A,,
ANEQ-487B,,,,,,,Senior (Summer) | S,,
ANEQ-522,Senior (Fall) | A,,,,,,,,
ANTH-100,Freshman (Fall) | B,,,Freshman (Fall) | C,Sophomore (Spring) | B,Freshman (Fall) | A,Freshman (Fall) | A,,Freshman (Fall) | A
ANTH-120,Sophomore (Fall) | A,Sophomore (Spring) | A,,,Freshman (Fall) | B,Freshman (Fall) | B,Junior (Spring) | A,,Freshman (Fall) | C
ANTH-140,Sophomore (Fall) | A,Sophomore (Fall) | A,Freshman (Fall) | A,Sophomore (Spring) | A,Sophomore (Spring) | B,Sophomore (Fall) | A,Sophomore (Fall) | A,Sophomore (Fall) | A,
ANTH-200,Sophomore (Fall) | A,Junior (Spring) | A,Freshman (Fall) | A,Freshman (Fall) | B,Sophomore (Spring) | A,Junior (Fall) | A,Junior (Fall) | A,Sophomore (Fall) | A+,Freshman (Fall) | B
ANTH-240,Sophomore (Fall) | A,,Senior (Fall) | A,,,,,,
ANTH-261,,,,,Sophomore (Spring) | W,,,,
ANTH-274,,Sophomore (Spring) | A,,,Sophomore (Spring) | A,,,Sophomore (Fall) | A,
ANTH-275,Sophomore (Summer) | W,,,,,,Senior (Fall) | A,,Sophomore (Fall) | A
ANTH-356,,,,,,,Senior (Spring) | A,,
ANTH-372,Senior (Fall) | A,,,,,,,,
ANTH-379,,,,,Junior (Fall) | A,Senior (Fall) | A,,,
AREC-202,Sophomore (Fall) | A,,,Freshman (Fall) | C,Sophomore (Fall) | C,Freshman (Fall) | C,Freshman (Spring) | A+,,Freshman (Fall) | A
AREC-222,Senior (Fall) | A,,,,,Junior (Fall) | B+,Freshman (Fall) | C+,,
AREC-240,,,,Sophomore (Fall) | A,,,Freshman (Fall) | B+,,
AREC-342,,,,Junior (Spring) | A,Junior (Spring) | A,,Senior (Spring) | A,,
AREC-375,,,,,,,Senior (Fall) | A+,,
ART-100,Sophomore (Fall) | A+,Sophomore (Spring) | A+,Junior (Fall) | A,Sophomore (Fall) | B,Sophomore (Fall) | A+,Sophomore (Fall) | A-,Sophomore (Spring) | A+,Freshman (Fall) | C+,Freshman (Fall) | A+
ART-105,,,,,Freshman (Fall) | A-,,Sophomore (Spring) | A+,,
ART-110,,,,,Freshman (Fall) | B+,,,,
ART-111,,,,,Sophomore (Spring) | B-,,,,
ART-200,,,,,,Freshman (Fall) | A-,,,
AS-101,,Sophomore (Fall) | A,,,Freshman (Fall) | A,Freshman (Fall) | A+,,,Freshman (Fall) | A
AS-102,,Sophomore (Spring) | A,,,Sophomore (Spring) | A,Sophomore (Spring) | A,,,
AS-201,,Junior (Fall) | W,,,Sophomore (Fall) | A,Sophomore (Fall) | A,,,
AS-202,,,,,Junior (Spring) | A+,Junior (Spring) | A+,,,
AS-301,,,,,Junior (Fall) | A+,Junior (Fall) | A,,,
AS-302,,,,,Senior (Spring) | A+,,,,
AS-401,,,,,Senior (Fall) | A,,,,
ATS-150,Sophomore (Spring) | B+,Sophomore (Fall) | B+,,,Sophomore (Fall) | A-,Freshman (Fall) | A+,Sophomore (Fall) | A,,
ATS-350,Sophomore (Fall) | A,,,Junior (Fall) | B,Senior - Second Bachelor (Fall) | A+,,,,
BC-192,Sophomore (Fall) | NGC,Freshman (Fall) | NGC,,Sophomore (Fall) | NGC,Sophomore (Fall) | NGC,,Sophomore (Fall) | NGC,,Freshman (Fall) | NGC
BC-295,Sophomore (Spring) | A+,,,,,,,,
BC-351,Senior (Fall) | A,Senior (Fall) | B,,Senior (Fall) | B,Senior (Spring) | A,Senior (Fall) | B-,Senior (Fall) | B,,Senior (Fall) | A
BC-401,Senior (Fall) | A+,Junior (Fall) | A+,Senior (Fall) | A,Junior (Fall) | A,,,Senior (Fall) | A,,
BC-403,,Senior (Spring) | A,Senior (Spring) | A,,,,,,
BC-405,,,Senior (Spring) | A,,,,,,
BC-411,,,Senior (Fall) | A,,,,,,
BC-463,,Senior (Fall) | A,Senior (Fall) | A,,,,,,
BC-465,Senior (Summer) | A-,,Senior (Spring) | A,,,,,,
BC-484,Senior (Fall) | A,Senior (Spring) | A,Senior (Fall) | A+,,Junior (Fall) | A-,,,,Senior (Fall) | A+
BC-496,,Junior (Fall) | A,Senior (Fall) | A+,,,,,,
BC-498,Senior (Fall) | A,,,,,,,,
BC-566,Senior (Spring) | A,,,,,,,,
BIOM-100,Junior (Fall) | A,,Sophomore (Fall) | A,,Sophomore (Fall) | A,Sophomore (Fall) | B+,Sophomore (Fall) | A,,
BIOM-109,Freshman (Fall) | A,,,,,Freshman (Fall) | A,Freshman (Fall) | A,,
BIOM-200,Senior (Fall) | A,,,,Junior (Fall) | B+,,,,
BIOM-304,Senior (Spring) | B-,,,,,,,,
BIOM-350A,,Senior (Summer) | A+,,,Senior (Summer) | A+,,,,
BIOM-350B,Senior (Spring) | A,,,,,,,,
BIOM-350C,Senior (Spring) | A,,,,,,,,
BMS-200,Junior (Spring) | A,Junior (Spring) | A,Junior (Spring) | A,Junior (Spring) | A,Junior (Spring) | A,Junior (Spring) | A,Junior (Spring) | A,,Junior (Spring) | A
BMS-260,Sophomore (Spring) | B,,,,Sophomore (Spring) | B,Sophomore (Spring) | C,Sophomore (Spring) | A-,,Sophomore (Spring) | A
BMS-296,Sophomore (Spring) | A,,,,Sophomore (Spring) | A,,Sophomore (Spring) | A,,
BMS-300,Junior (Spring) | A,Junior (Fall) | B,Junior (Fall) | A,Junior (Spring) | B,Junior (Spring) | A,Junior (Spring) | C,Senior (Fall) | A,Junior (Fall) | A,Junior (Fall) | B
BMS-301,Senior (Fall) | A,Senior (Fall) | A,Senior (Fall) | B,Senior (Fall) | B,Senior (Fall) | B,Senior (Fall) | D,Senior (Fall) | A,,Senior (Fall) | B
BMS-302,Junior (Spring) | A,Senior (Fall) | A,Senior (Fall) | A,Junior (Fall) | A-,Junior (Fall) | B,Junior (Spring) | C,Senior (Spring) | A,,Junior (Spring) | B
BMS-304,Senior (Fall) | A,,,,,,,,
BMS-305,Junior (Spring) | A,Junior (Spring) | W,,,,,Senior (Spring) | A,,
BMS-320,,,,,Senior (Spring) | B,,,,
