course_id,term_season,major_group,total_enrollments
FSHN-350,Fall,Anatomy and Physiology,19
FSHN-350,Spring,Anatomy and Physiology,28
FSHN-350,Summer,Exercise Science,9
FSHN-360,Spring,Health Promotion,1
FSHN-382A,Summer,Exercise Science,2
FSHN-428,Spring,Exercise Science,3
FSHN-435,Summer,Exercise Science,2
FSHN-444,Fall,Exercise Science,14
FSHN-444,Spring,Exercise Science,3
FSHN-444,Summer,Exercise Science,2
FSHN-445,Fall,Exercise Science,1
FSHN-449,Fall,Exercise Science,3
FSHN-451,Fall,Exercise Science,2
FSHN-453,Spring,Exercise Science,2
FSHN-455,Fall,Anatomy and Physiology,2
FSHN-459,Fall,Exercise Science,15
FSHN-461,Fall,Exercise Science,1
FSHN-470,Spring,Behavioral and Cognitive Neuroscience,1
