course_id,course_grade,enrollments
CHEM-338,B-,1
CHEM-341,A,191
CHEM-341,A+,43
CHEM-341,A-,18
CHEM-341,B,110
CHEM-341,B+,27
CHEM-341,B-,18
CHEM-341,C,77
CHEM-341,C+,39
CHEM-341,D,17
CHEM-341,F,8
CHEM-341,RC,4
CHEM-341,RD,8
CHEM-341,RF,7
CHEM-341,U,1
CHEM-341,W,42
CHEM-341,XF,2
CHEM-343,A,112
CHEM-343,A+,40
CHEM-343,A-,25
CHEM-343,B,87
CHEM-343,B+,7
CHEM-343,B-,6
CHEM-343,C,59
CHEM-343,C+,17
CHEM-343,D,20
CHEM-343,F,6
CHEM-343,RD,3
CHEM-343,RF,6
CHEM-343,S,1
CHEM-343,W,50
CHEM-344,A,137
CHEM-344,A+,46
CHEM-344,A-,95
CHEM-344,B,17
CHEM-344,B+,36
CHEM-344,B-,4
CHEM-344,C,2
CHEM-344,C+,4
CHEM-344,D,2
CHEM-344,I,1
CHEM-344,W,2
CHEM-384,A,20
CHEM-434,A,2
CHEM-440,A-,1
CHEM-440,B,1
CHEM-445,A,1
CHEM-445,B-,1
CHEM-445,W,1
CHEM-448,A,2
CHEM-448,A+,1
CHEM-448,B,1
CIS-200,A,6
CIS-200,A-,3
CIS-200,B,2
CIS-200,B+,1
CIS-200,B-,1
CIS-200,C,2
CIS-200,D,2
CIS-200,RD,1
CIS-200,RF,1
CIS-240,C,1
CIS-310,B+,1
CIS-320,B+,1
CIS-340,B-,1
CIS-370,A-,1
CIS-411,B+,1
CIS-575,W,1
CIVE-102,A,1
CIVE-102,A+,1
CIVE-102,NGC,2
CIVE-103,B+,1
CIVE-103,NGC,1
CIVE-260,B-,1
CIVE-260,C,1
CIVE-260,D,1
CIVE-261,A+,1
CIVE-261,F,1
CIVE-261,W,1
CIVE-360,A+,1
CO-130,A,10
CO-130,A+,2
CO-130,A-,8
CO-130,B,1
CO-130,B+,3
CO-130,B-,6
CO-130,C,5
CO-130,C+,1
CO-130,W,1
CO-150,A,280
CO-150,A+,158
CO-150,A-,132
CO-150,B,99
CO-150,B+,78
CO-150,B-,43
CO-150,C,38
CO-150,C+,27
CO-150,D,10
CO-150,F,13
CO-150,RF,10
CO-150,S,1
CO-150,W,18
CO-150,XB,1
CO-150,XC+,1
CO-300,A,46
CO-300,A+,45
CO-300,A-,21
CO-300,B,14
CO-300,B+,9
CO-300,B-,7
CO-300,C,4
CO-300,C+,2
CO-300,D,2
CO-300,F,3
CO-300,RF,1
CO-300,W,5
CO-301A,A,2
CO-301A,A-,2
CO-301A,B+,1
CO-301B,A,276
CO-301B,A+,70
CO-301B,A-,84
CO-301B,B,79
CO-301B,B+,49
CO-301B,B-,34
CO-301B,C,19
CO-301B,C+,16
CO-301B,D,6
CO-301B,F,12
CO-301B,RF,2
CO-301B,W,24
CO-301B,XB,1
CO-301B,XU,1
CO-302,B,1
CON-101,A,1
CON-101,B,1
CON-131,A,1
CON-151,B,2
CON-192,A,1
CON-251,A+,1
CON-251,NGC,1
CON-253,A+,1
CON-253,NGC,1
CON-265,A,1
CON-265,NGC,1
CON-317,A,1
CON-353,A,1
CON-353,NGC,2
CON-358,B,1
CON-366,B,1
CON-366,NGC,1
CS-110,A,16
CS-110,A-,1
CS-110,B,6
CS-110,B+,3
CS-110,B-,1
CS-110,C,3
CS-110,D,1
CS-110,F,2
CS-110,NGC,37
CS-110,W,4
CS-150B,A,35
CS-150B,A+,1
CS-150B,B,12
CS-150B,C,2
CS-150B,F,3
CS-150B,NGC,50
CS-150B,W,6
CS-152,A,3
CS-152,B,2
CS-152,C,1
CS-152,NGC,6
CS-162,B,3
CS-162,B+,1
CS-162,C,1
CS-162,NGC,5
CS-163,A,1
CS-163,B,1
CS-163,NGC,1
CS-163,W,2
CS-164,A,4
CS-164,B,4
CS-164,C,1
CS-164,F,1
CS-164,NGC,13
CS-164,XF,1
CS-165,A,1
CS-165,A+,1
CS-165,B,1
CS-165,C,2
CS-165,C+,1
CS-165,NGC,5
CS-192,A,1
CS-192,C,1
CS-192,F,1
CS-201,A+,1
CS-201,A-,1
CS-201,C,1
CS-201,C+,1
CS-214,B-,1
CS-214,C,1
CS-214,NGC,2
CS-214,W,2
CS-220,A,3
CS-220,B,1
CS-220,B+,1
CS-220,C,2
CS-220,NGC,8
CS-220,RF,1
CS-250,A,1
CS-312,A,1
CS-312,NGC,1
CS-314,A,1
CS-320,C+,1
CS-345,A,1
CS-345,A+,1
CS-356,B,2
CS-425,NGC,1
CS-435,C,1
CS-435,NGC,1
CS-480A8,NGC,1
CT-301,W,2
D-110,A,8
D-110,A+,20
D-110,B+,2
D-110,B-,1
D-110,C,4
D-120A,A,1
D-120B,A+,1
D-220A,A+,1
DM-182A,A+,1
DM-192A,A,1
DM-192B,C,1
DM-192B,D,1
DM-272,B,1
DSCI-235,A,1
DSCI-235,NGC,1
DSCI-320,B,1
DSCI-320,D,1
DSCI-320,W,1
DSCI-335,A,1
DSCI-335,A+,1
DSCI-336,A,1
DSCI-369,A+,1
DSCI-369,A-,1
DSCI-369,NGC,2
DSCI-445,D,1
DSCI-478,A,1
E-140,A,7
E-140,A+,2
E-140,A-,3
E-140,B,2
E-140,C+,1
E-140,F,1
E-142,A,3
E-142,A-,2
E-142,B+,2
E-142,B-,2
E-142,C,1
E-142,D,1
E-150,D,1
E-202,A+,1
E-204,A,1
E-206,A,1
E-210,A,3
E-210,A+,5
E-210,A-,3
E-210,B+,1
E-210,B-,1
E-210,C,1
E-232,A,12
E-232,A-,1
E-232,B,1
E-232,B-,2
E-232,C,2
E-232,F,1
E-236,A,12
E-236,A+,8
E-236,A-,4
E-236,B,1
E-236,B+,2
E-236,B-,3
E-236,C,1
E-237,A+,1
E-237,C+,1
E-237,F,1
E-238,A,2
E-238,A+,2
E-238,A-,4
E-238,B,1
E-238,B-,1
E-238,C,1
E-238,C+,1
E-238,W,1
E-240,A+,1
E-240,A-,1
E-242,A,1
E-242,A+,2
E-245,A,6
E-245,A-,1
E-245,B+,1
E-245,C,1
E-245,D,1
E-245,W,1
E-270,A+,1
E-270,A-,1
E-270,B,1
E-270,B-,2
E-270,C,2
E-276,A,2
E-276,A-,1
E-276,B+,1
E-276,B-,1
E-276,C,2
E-277,C,1
E-277,W,1
E-311A,A,1
E-311A,A+,1
E-311A,A-,1
E-311A,NGC,3
E-311B,A+,1
E-311B,A-,1
E-311B,NGC,3
E-328,W,1
E-333,A+,1
E-352,A+,1
E-412A,A,1
E-412A,NGC,1
EAP-102,A-,1
ECE-102,C,1
ECE-102,D,1
ECE-102,NGC,2
ECE-204,A,1
ECE-204,F,1
ECON-101,A,2
ECON-101,A+,5
ECON-101,A-,1
ECON-101,B,1
ECON-101,B+,1
ECON-101,B-,1
ECON-202,A,9
ECON-202,A+,7
ECON-202,A-,11
ECON-202,B,13
ECON-202,B+,11
ECON-202,B-,16
ECON-202,C,10
ECON-202,C+,8
ECON-202,D,9
ECON-202,F,3
ECON-202,NGC,114
ECON-202,RF,3
ECON-202,W,11
ECON-204,A+,1
ECON-204,A-,3
ECON-204,B-,1
ECON-204,C,2
ECON-204,C+,1
ECON-204,NGC,11
ECON-204,W,6
ECON-211,A,14
