course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
AA-100,Anatomy and Physiology,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
ANTH-274,Exercise Science,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
ANTH-274,Neuroscience,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-275,Anatomy and Physiology,1,W,Sophomore,Summer,Sophomore (Summer),Sophomore (Summer) | W
ANTH-275,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANTH-275,Other,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ANTH-356,Microbiology and Infectious Disease,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
ANTH-372,Anatomy and Physiology,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ANTH-379,Exercise Science,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ANTH-379,Health Promotion,2,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
AREC-202,Anatomy and Physiology,7,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AREC-202,Environmental and Public Health,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
AREC-202,Exercise Science,10,C,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C
AREC-202,Health Promotion,4,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
AREC-202,Microbiology and Infectious Disease,3,A+,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A+
AREC-202,Other,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
AREC-222,Anatomy and Physiology,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
AREC-222,Health Promotion,1,B+,Junior,Fall,Junior (Fall),Junior (Fall) | B+
AREC-222,Microbiology and Infectious Disease,1,C+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C+
AREC-240,Environmental and Public Health,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AREC-240,Microbiology and Infectious Disease,1,B+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B+
AREC-342,Environmental and Public Health,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AREC-342,Exercise Science,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AREC-342,Microbiology and Infectious Disease,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
AREC-375,Microbiology and Infectious Disease,1,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
ART-100,Anatomy and Physiology,47,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
ART-100,Behavioral and Cognitive Neuroscience,18,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
ART-100,Cell and Molecular Neuroscience,4,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
ART-100,Environmental and Public Health,6,B,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B
ART-100,Exercise Science,107,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
ART-100,Health Promotion,63,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
ART-100,Microbiology and Infectious Disease,23,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
ART-100,Neuroscience,3,C+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C+
ART-100,Other,9,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
ART-105,Exercise Science,1,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
ART-105,Microbiology and Infectious Disease,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
ART-110,Exercise Science,1,B+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B+
ART-111,Exercise Science,1,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
ART-200,Health Promotion,3,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
AS-101,Behavioral and Cognitive Neuroscience,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AS-101,Exercise Science,6,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
AS-101,Health Promotion,4,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
AS-101,Other,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
AS-102,Behavioral and Cognitive Neuroscience,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
AS-102,Exercise Science,4,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
AS-102,Health Promotion,3,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
AS-201,Behavioral and Cognitive Neuroscience,1,W,Junior,Fall,Junior (Fall),Junior (Fall) | W
AS-201,Exercise Science,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AS-201,Health Promotion,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
AS-202,Exercise Science,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
AS-202,Health Promotion,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
